0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Hammerklaviersonate 1. Satz"
1, 0, Copyright_t, "Copyright © 2008 by Bernd Krueger"
1, 0, Text_t, "Ludwig van Beethoven"
1, 0, Text_t, "Allegro"
1, 0, Text_t, "Erstellt: 19.4.2008\012"
1, 0, Text_t, "Update: 15.8.2012\012"
1, 0, Text_t, "Dauer: 9:53 Minuten\012"
1, 0, Text_t, "Mit halber Notation\012"
1, 0, Time_signature, 4, 3, 12, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 434783
1, 840, Tempo, 481928
1, 960, Tempo, 456274
1, 1800, Tempo, 566038
1, 1920, Tempo, 524017
1, 2760, Tempo, 489796
1, 2880, Tempo, 465116
1, 3720, Tempo, 576923
1, 3840, Tempo, 528634
1, 4800, Tempo, 566038
1, 5040, Tempo, 519481
1, 5760, Tempo, 526316
1, 6000, Tempo, 563380
1, 6240, Tempo, 530973
1, 6480, Tempo, 563380
1, 6720, Tempo, 535714
1, 6960, Tempo, 526316
1, 7320, Tempo, 612245
1, 7440, Tempo, 568720
1, 7680, Tempo, 621762
1, 7800, Tempo, 655738
1, 7920, Tempo, 641711
1, 8040, Tempo, 722892
1, 8400, Tempo, 528634
1, 8640, Tempo, 566038
1, 8880, Tempo, 519481
1, 9600, Tempo, 526316
1, 9840, Tempo, 563380
1, 10080, Tempo, 530973
1, 10320, Tempo, 563380
1, 10560, Tempo, 535714
1, 10800, Tempo, 526316
1, 11160, Tempo, 612245
1, 11280, Tempo, 568720
1, 11520, Tempo, 526316
1, 11640, Tempo, 612245
1, 11760, Tempo, 568720
1, 12000, Tempo, 550459
1, 12480, Tempo, 542986
1, 12840, Tempo, 574163
1, 12960, Tempo, 538117
1, 13320, Tempo, 591133
1, 13440, Tempo, 538117
1, 13800, Tempo, 588235
1, 13920, Tempo, 540541
1, 14280, Tempo, 603015
1, 14400, Tempo, 542986
1, 14760, Tempo, 603015
1, 14880, Tempo, 555556
1, 15240, Tempo, 594059
1, 15360, Tempo, 563380
1, 15720, Tempo, 600000
1, 15840, Tempo, 603015
1, 16320, Tempo, 542986
1, 17160, Tempo, 597015
1, 17280, Tempo, 530973
1, 17760, Tempo, 530973
1, 18120, Tempo, 681818
1, 18240, Tempo, 542986
1, 19080, Tempo, 597015
1, 19200, Tempo, 530973
1, 19680, Tempo, 519481
1, 20040, Tempo, 641711
1, 20160, Tempo, 542986
1, 21000, Tempo, 597015
1, 21120, Tempo, 530973
1, 21600, Tempo, 517241
1, 21960, Tempo, 641711
1, 22080, Tempo, 542986
1, 22920, Tempo, 597015
1, 23040, Tempo, 530973
1, 23520, Tempo, 526316
1, 23880, Tempo, 574163
1, 24000, Tempo, 530973
1, 24480, Tempo, 521739
1, 24840, Tempo, 563380
1, 24960, Tempo, 526316
1, 25800, Tempo, 563380
1, 25920, Tempo, 526316
