0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Grande Sonate Opus 22 - 4. movement"
1, 0, Copyright_t, "Copyright © 2009 by Bernd Krueger"
1, 0, Text_t, "Ludwig von Beethoven"
1, 0, Text_t, "Erstellt: 13.11.2009\012"
1, 0, Text_t, "Update: 31.5.2012\012"
1, 0, Text_t, "Dauer: 4:42 Minuten\012"
1, 0, Time_signature, 2, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 701754
1, 600, Tempo, 731707
1, 720, Tempo, 701754
1, 1800, Tempo, 789474
1, 1920, Tempo, 697674
1, 2160, Tempo, 689655
1, 2280, Tempo, 705882
1, 2400, Tempo, 710059
1, 2520, Tempo, 718563
1, 2640, Tempo, 681818
1, 2760, Tempo, 689655
1, 2880, Tempo, 693642
1, 3720, Tempo, 769231
1, 3840, Tempo, 697674
1, 3960, Tempo, 685714
1, 4080, Tempo, 693642
1, 4200, Tempo, 681818
1, 4320, Tempo, 693642
1, 4440, Tempo, 722892
1, 4560, Tempo, 681818
1, 4680, Tempo, 697674
1, 4920, Tempo, 685714
1, 5040, Tempo, 689655
1, 5160, Tempo, 689655
1, 5280, Tempo, 697674
1, 5400, Tempo, 689655
1, 5520, Tempo, 693642
1, 5640, Tempo, 727273
1, 5760, Tempo, 697674
1, 6360, Tempo, 685714
1, 6720, Tempo, 689655
1, 7200, Tempo, 693642
1, 7560, Tempo, 800000
1, 7680, Tempo, 693642
1, 7920, Tempo, 705882
1, 8280, Tempo, 805369
1, 8400, Tempo, 701754
1, 9480, Tempo, 789474
1, 9600, Tempo, 697674
1, 10200, Tempo, 727273
1, 10320, Tempo, 681818
1, 10440, Tempo, 689655
1, 10560, Tempo, 693642
1, 11400, Tempo, 769231
1, 11520, Tempo, 697674
1, 12120, Tempo, 722892
1, 12240, Tempo, 681818
1, 12360, Tempo, 697674
1, 13320, Tempo, 727273
1, 13440, Tempo, 697674
1, 14040, Tempo, 685714
1, 14400, Tempo, 689655
1, 14760, Tempo, 774194
1, 14880, Tempo, 689655
1, 15240, Tempo, 827586
1, 15360, Tempo, 693642
1, 15629, Tempo, 714286
1, 15744, Tempo, 710059
1, 15840, Tempo, 705882
1, 15955, Tempo, 701754
1, 16051, Tempo, 697674
1, 16147, Tempo, 693642
1, 16262, Tempo, 689655
1, 16358, Tempo, 685714
1, 16474, Tempo, 681818
1, 16570, Tempo, 677966
1, 16666, Tempo, 674157
1, 16800, Tempo, 689655
1, 17160, Tempo, 810811
1, 17299, Tempo, 689655
1, 18227, Tempo, 701754
1, 18284, Tempo, 697674
1, 18323, Tempo, 693642
1, 18380, Tempo, 689655
1, 18419, Tempo, 685714
1, 18600, Tempo, 718563
1, 18720, Tempo, 718563
1, 18960, Tempo, 740741
1, 19200, Tempo, 701754
1, 19440, Tempo, 745342
1, 19666, Tempo, 689655
1, 19680, Tempo, 705882
1, 20133, Tempo, 701754
1, 20280, Tempo, 659341
