0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Grande Sonata Opus 22 1. movement"
1, 0, Copyright_t, "Copyright © 2009 by Bernd Krueger"
1, 0, Text_t, "Ludwig von Beethoven"
1, 0, Text_t, "Allegro con brio"
1, 0, Text_t, "Erstellt: 29.9.2009\012"
1, 0, Text_t, "Update: 27.5.2012\012"
1, 0, Text_t, "Dauer: 6:39 Minuten\012"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, -2, "major"
1, 0, Tempo, 424929
1, 1440, Tempo, 332963
1, 1440, Marker_t, "Teil1"
1, 1800, Tempo, 468019
1, 1920, Tempo, 402145
1, 3360, Tempo, 332963
1, 3720, Tempo, 468019
1, 3840, Tempo, 402145
1, 5280, Tempo, 376884
1, 5760, Tempo, 367647
1, 6240, Tempo, 362100
1, 6720, Tempo, 357782
1, 7200, Tempo, 364299
1, 7560, Tempo, 447094
1, 7680, Tempo, 366524
1, 9480, Tempo, 410397
1, 9600, Tempo, 376884
1, 11400, Tempo, 438917
1, 11520, Tempo, 400802
1, 12480, Tempo, 395517
1, 13440, Tempo, 378072
1, 14280, Tempo, 403497
1, 14400, Tempo, 378072
1, 15240, Tempo, 437318
1, 15360, Tempo, 418994
1, 15600, Tempo, 357782
1, 16320, Tempo, 434153
1, 16440, Tempo, 417537
1, 16560, Tempo, 357782
1, 17280, Tempo, 434153
1, 17400, Tempo, 416089
1, 17520, Tempo, 357782
1, 18240, Tempo, 434153
1, 18360, Tempo, 416089
1, 18480, Tempo, 357782
1, 19200, Tempo, 434153
1, 19440, Tempo, 371058
1, 20151, Tempo, 373367
1, 20209, Tempo, 372208
1, 20266, Tempo, 371058
1, 20324, Tempo, 369914
1, 20382, Tempo, 368777
1, 20420, Tempo, 367647
1, 20478, Tempo, 366524
1, 20535, Tempo, 365408
1, 20593, Tempo, 364299
1, 20612, Tempo, 362100
1, 20631, Tempo, 363196
1, 20650, Tempo, 365408
1, 20670, Tempo, 367647
1, 20708, Tempo, 368777
1, 20727, Tempo, 369914
1, 20766, Tempo, 371058
1, 20785, Tempo, 372208
1, 20804, Tempo, 373367
1, 20842, Tempo, 374532
1, 20862, Tempo, 375704
1, 20881, Tempo, 376884
1, 20919, Tempo, 378072
1, 20938, Tempo, 379267
1, 20958, Tempo, 380469
1, 21000, Tempo, 434153
1, 21120, Tempo, 396825
1, 22560, Tempo, 361011
1, 22920, Tempo, 379267
1, 23040, Tempo, 361011
1, 23400, Tempo, 379267
1, 23520, Tempo, 361011
1, 23880, Tempo, 379267
1, 24000, Tempo, 359928
1, 24360, Tempo, 379267
1, 24480, Tempo, 359928
1, 24840, Tempo, 448766
1, 24960, Tempo, 361011
1, 25440, Tempo, 380469
1, 25920, Tempo, 366524
1, 26760, Tempo, 396825
1, 26880, Tempo, 366524
1, 27360, Tempo, 392157
1, 27840, Tempo, 377358
1, 28320, Tempo, 389105
1, 28800, Tempo, 370370
1, 30240, Tempo, 388350
1, 30720, Tempo, 359928
1, 31560, Tempo, 376884
1, 31680, Tempo, 358852
1, 32520, Tempo, 375704
1, 32640, Tempo, 359928
1, 33480, Tempo, 376884
1, 33600, Tempo, 358852
1, 34440, Tempo, 375704
1, 34560, Tempo, 359928
1, 35400, Tempo, 376884
1, 35520, Tempo, 358852
1, 36360, Tempo, 375704
1, 36480, Tempo, 359928
1, 37320, Tempo, 376884
1, 37440, Tempo, 358852
1, 38280, Tempo, 375704
1, 38400, Tempo, 358852
1, 39240, Tempo, 375704
1, 39360, Tempo, 358852
1, 40200, Tempo, 410397
1, 40320, Tempo, 375704
1, 40560, Tempo, 362100
1, 40589, Tempo, 365854
1, 40704, Tempo, 364742
1, 40820, Tempo, 363636
1, 40916, Tempo, 362538
1, 41031, Tempo, 361446
1, 41127, Tempo, 359281
1, 41280, Tempo, 360360
1, 41434, Tempo, 361446
1, 42120, Tempo, 421053
1, 42240, Tempo, 368098
1, 42336, Tempo, 366972
1, 42413, Tempo, 365854
1, 42509, Tempo, 364742
1, 42586, Tempo, 363636
1, 42682, Tempo, 362538
1, 42759, Tempo, 361446
1, 42855, Tempo, 360360
1, 42932, Tempo, 359281
1, 43008, Tempo, 358209
1, 43080, Tempo, 424028
1, 43196, Tempo, 360360
1, 43220, Tempo, 359281
1, 43232, Tempo, 358209
1, 43256, Tempo, 356083
1, 43340, Tempo, 360360
1, 43388, Tempo, 362538
1, 43400, Tempo, 361446
1, 43412, Tempo, 360360
1, 43424, Tempo, 356083
1, 43436, Tempo, 355030
1, 43472, Tempo, 357143
1, 43484, Tempo, 358209
1, 43508, Tempo, 359281
1, 43532, Tempo, 360360
1, 43544, Tempo, 362538
1, 43604, Tempo, 359281
1, 43616, Tempo, 353982
1, 43664, Tempo, 355030
1, 43676, Tempo, 357143
1, 43688, Tempo, 358209
1, 43700, Tempo, 360360
1, 43724, Tempo, 361446
1, 43736, Tempo, 362538
1, 43748, Tempo, 363636
1, 43760, Tempo, 364742
1, 43808, Tempo, 363636
1, 43820, Tempo, 362538
1, 43844, Tempo, 359281
1, 43856, Tempo, 358209
1, 43868, Tempo, 357143
1, 43880, Tempo, 356083
1, 43892, Tempo, 355030
1, 43916, Tempo, 353982
1, 43928, Tempo, 352941
1, 43988, Tempo, 357143
1, 44108, Tempo, 362538
1, 44120, Tempo, 363636
1, 44132, Tempo, 364742
1, 44144, Tempo, 366972
1, 44168, Tempo, 365854
1, 44180, Tempo, 364742
