0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 0, Title_t, "Hammerklaviersonate: 3. Satz"
1, 0, Copyright_t, "Copyright © 2008 by Bernd Krueger"
1, 0, Text_t, "Ludwig van Beethoven"
1, 0, Text_t, "Adagio sostenuto"
1, 0, Text_t, "Erstellt: 14.6.2008\012"
1, 0, Text_t, "Update: 22.8.2012\012"
1, 0, Text_t, "Dauer: 12:44 Minuten\012"
1, 0, Time_signature, 6, 3, 12, 8
1, 0, Key_signature, 3, "major"
1, 0, Tempo, 1304348
1, 1920, Tempo, 1348315
1, 2160, Tempo, 1318681
1, 2400, Tempo, 1276596
1, 2640, Tempo, 1411765
1, 2880, Tempo, 1304348
1, 4080, Tempo, 1379310
1, 4320, Tempo, 1290323
1, 5280, Tempo, 1250000
1, 5520, Tempo, 1379310
1, 5760, Tempo, 1304348
1, 7200, Tempo, 1304348
1, 7440, Tempo, 1263158
1, 7680, Tempo, 1363636
1, 7920, Tempo, 1318681
1, 8400, Tempo, 1395349
1, 8640, Tempo, 1318681
1, 9600, Tempo, 1276596
1, 9840, Tempo, 1318681
1, 10080, Tempo, 1333333
1, 10560, Tempo, 1379310
1, 10800, Tempo, 1318681
1, 11280, Tempo, 1411765
1, 11520, Tempo, 1276596
1, 11760, Tempo, 1318681
1, 12000, Tempo, 1379310
1, 12240, Tempo, 1318681
1, 12720, Tempo, 1395349
1, 12960, Tempo, 1304348
1, 13440, Tempo, 1363636
1, 13680, Tempo, 1304348
1, 14280, Tempo, 1481481
1, 14400, Tempo, 1318681
1, 15360, Tempo, 1276596
1, 15600, Tempo, 1304348
1, 15720, Tempo, 1578947
1, 15840, Tempo, 1276596
1, 16080, Tempo, 1318681
1, 16320, Tempo, 1395349
1, 16560, Tempo, 1348315
1, 17040, Tempo, 1481481
1, 17280, Tempo, 1333333
1, 17520, Tempo, 1290323
1, 17760, Tempo, 1333333
1, 18480, Tempo, 1428571
1, 18720, Tempo, 1333333
1, 19200, Tempo, 1428571
1, 19440, Tempo, 1333333
1, 19920, Tempo, 1379310
1, 20160, Tempo, 1290323
1, 20640, Tempo, 1428571
1, 20880, Tempo, 1318681
1, 21360, Tempo, 1411765
1, 21600, Tempo, 1318681
1, 21840, Tempo, 1276596
1, 22080, Tempo, 1318681
1, 22320, Tempo, 1333333
1, 22800, Tempo, 1379310
1, 23040, Tempo, 1333333
1, 23520, Tempo, 1379310
1, 23760, Tempo, 1318681
1, 24000, Tempo, 1276596
1, 24240, Tempo, 1318681
1, 24480, Tempo, 1250000
1, 24720, Tempo, 1290323
1, 24960, Tempo, 1379310
1, 25200, Tempo, 1348315
1, 25440, Tempo, 1276596
1, 25680, Tempo, 1304348
1, 25920, Tempo, 1318681
1, 26400, Tempo, 1363636
1, 26640, Tempo, 1318681
1, 26880, Tempo, 1276596
1, 27120, Tempo, 1304348
1, 27240, Tempo, 1578947
1, 27360, Tempo, 1304348
1, 27600, Tempo, 1348315
1, 27840, Tempo, 1363636
1, 28080, Tempo, 1348315
1, 28320, Tempo, 1276596
1, 28440, Tempo, 1290323
1, 28560, Tempo, 1363636
1, 28680, Tempo, 1428571
1, 28800, Tempo, 1333333
1, 30000, Tempo, 1428571
1, 30240, Tempo, 1333333
1, 30720, Tempo, 1348315
1, 30960, Tempo, 1290323
1, 31200, Tempo, 1318681
1, 31440, Tempo, 1379310
1, 31680, Tempo, 1290323
1, 32160, Tempo, 1304348
1, 32400, Tempo, 1395349
1, 32640, Tempo, 1304348
1, 32880, Tempo, 1348315
1, 33120, Tempo, 1318681
1, 33360, Tempo, 1276596
1, 33600, Tempo, 1318681
1, 33840, Tempo, 1333333
1, 34320, Tempo, 1379310
1, 34560, Tempo, 1318681
1, 34800, Tempo, 1276596
1, 35040, Tempo, 1318681
1, 35280, Tempo, 1318681
1, 35520, Tempo, 1276596
1, 35760, Tempo, 1318681
1, 36000, Tempo, 1395349
1, 36240, Tempo, 1276596
1, 36480, Tempo, 1318681
1, 36720, Tempo, 1463415
1, 36960, Tempo, 1276596
1, 37200, Tempo, 1318681
1, 37440, Tempo, 1318681
1, 37680, Tempo, 1379310
1, 37920, Tempo, 1304348
1, 38160, Tempo, 1318681
1, 38400, Tempo, 1379310
1, 38640, Tempo, 1290323
1, 38880, Tempo, 1333333
1, 39840, Tempo, 1318681
1, 40080, Tempo, 1379310
1, 40320, Tempo, 1318681
1, 40680, Tempo, 1445783
1, 40800, Tempo, 1318681
1, 41760, Tempo, 1379310
1, 42000, Tempo, 1318681
1, 42120, Tempo, 1395349
1, 42240, Tempo, 1304348
1, 43200, Tempo, 1333333
1, 44160, Tempo, 1318681
1, 44400, Tempo, 1379310
1, 44625, Tempo, 1379310
1, 44664, Tempo, 1363636
1, 44683, Tempo, 1348315
1, 44702, Tempo, 1333333
1, 44741, Tempo, 1318681
1, 44760, Tempo, 1304348
1, 44779, Tempo, 1290323
1, 44817, Tempo, 1276596
1, 44837, Tempo, 1263158
1, 44856, Tempo, 1250000
1, 44875, Tempo, 1237113
1, 45000, Tempo, 1445783
1, 45120, Tempo, 1318681
1, 45240, Tempo, 1379310
1, 45360, Tempo, 1318681
1, 45720, Tempo, 1411765
1, 45840, Tempo, 1318681
1, 46080, Tempo, 1379310
1, 46320, Tempo, 1318681
1, 46440, Tempo, 1395349
1, 46560, Tempo, 1304348
1, 47520, Tempo, 1333333
1, 48480, Tempo, 1318681
1, 48720, Tempo, 1379310
1, 48960, Tempo, 1333333
1, 49186, Tempo, 1290323
1, 49628, Tempo, 1318681
1, 49820, Tempo, 1333333
1, 50012, Tempo, 1348315
1, 50184, Tempo, 1363636
1, 50400, Tempo, 1333333
1, 50760, Tempo, 1290323
1, 51240, Tempo, 1333333
1, 51360, Tempo, 1318681
1, 51480, Tempo, 1290323
1, 51600, Tempo, 1348315
1, 51840, Tempo, 1290323
1, 51960, Tempo, 1363636
1, 52080, Tempo, 1333333
1, 52200, Tempo, 1304348
1, 52320, Tempo, 1304348
1, 52680, Tempo, 1363636
1, 52800, Tempo, 1318681
1, 52920, Tempo, 1304348
1, 53040, Tempo, 1333333
1, 53280, Tempo, 1333333
1, 54000, Tempo, 1445783
1, 54120, Tempo, 1333333
1, 54240, Tempo, 1333333
1, 54258, Tempo, 1348315
1, 54335, Tempo, 1363636
1, 54393, Tempo, 1379310
1, 54450, Tempo, 1395349
1, 54508, Tempo, 1411765
1, 54566, Tempo, 1428571
1, 54600, Tempo, 1643836
1, 54720, Tempo, 1290323
1, 55320, Tempo, 1395349
1, 55440, Tempo, 1290323
1, 56040, Tempo, 1395349
1, 56160, Tempo, 1290323
1, 56760, Tempo, 1395349
1, 56880, Tempo, 1290323
1, 57480, Tempo, 1395349
1, 57600, Key_signature, 2, "major"
1, 57600, Tempo, 1290323
1, 58200, Tempo, 1379310
1, 58320, Tempo, 1276596
1, 58920, Tempo, 1481481
1, 59040, Tempo, 1333333
1, 59280, Tempo, 1304348
1, 59640, Tempo, 1428571
1, 59760, Tempo, 1318681
1, 60360, Tempo, 1463415
1, 60480, Tempo, 1333333
1, 60840, Tempo, 1463415
1, 60960, Tempo, 1348315
1, 61560, Tempo, 1463415
1, 61998, Tempo, 1500000
1, 62055, Tempo, 1481481
1, 62113, Tempo, 1463415
1, 62171, Tempo, 1445783
1, 62209, Tempo, 1428571
1, 62228, Tempo, 1411765
1, 62439, Tempo, 1428571
1, 62651, Tempo, 1445783
1, 62843, Tempo, 1463415
1, 62862, Tempo, 1500000
1, 62881, Tempo, 1518987
1, 62919, Tempo, 1538462
1, 62958, Tempo, 1558442
1, 62977, Tempo, 1578947
1, 63015, Tempo, 1643836
1, 63092, Tempo, 1666667
1, 63188, Tempo, 1690141
1, 63265, Tempo, 1714286
1, 63360, Tempo, 1333333
1, 64560, Tempo, 1250000
1, 64680, Tempo, 1379310
1, 64800, Tempo, 1318681
1, 65040, Tempo, 1276596
1, 65280, Tempo, 1224490
1, 65400, Tempo, 1379310
1, 65520, Tempo, 1237113
1, 65640, Tempo, 1333333
1, 65760, Tempo, 1318681
1, 66120, Tempo, 1428571
1, 66240, Tempo, 1304348
1, 66480, Tempo, 1348315
1, 66720, Tempo, 1318681
1, 66960, Tempo, 1318681
1, 67200, Tempo, 1290323
1, 67440, Tempo, 1237113
1, 67560, Tempo, 1379310
1, 67680, Tempo, 1318681
1, 67920, Tempo, 1290323
1, 68160, Tempo, 1224490
1, 68280, Tempo, 1379310
1, 68400, Tempo, 1237113
1, 68520, Tempo, 1333333
1, 68640, Tempo, 1318681
1, 69000, Tempo, 1428571
1, 69120, Tempo, 1333333
1, 69360, Tempo, 1304348
1, 69720, Tempo, 1363636
1, 69840, Tempo, 1318681
1, 70320, Tempo, 1379310
1, 70440, Tempo, 1500000
1, 70560, Tempo, 1318681
1, 70800, Tempo, 1276596
1, 71040, Tempo, 1224490
1, 71160, Tempo, 1445783
1, 71280, Tempo, 1250000
1, 71400, Tempo, 1333333
1, 71520, Tempo, 1290323
1, 71880, Tempo, 1428571
1, 72000, Tempo, 1333333
1, 72240, Tempo, 1304348
1, 72360, Tempo, 1379310
1, 72480, Tempo, 1318681
1, 72720, Tempo, 1318681
1, 73200, Tempo, 1290323
1, 73320, Tempo, 1379310
1, 73440, Tempo, 1318681
1, 73680, Tempo, 1290323
1, 73920, Tempo, 1263158
1, 74040, Tempo, 1379310
1, 74160, Tempo, 1250000
1, 74280, Tempo, 1333333
1, 74400, Tempo, 1290323
1, 74640, Tempo, 1318681
1, 74760, Tempo, 1428571
1, 74880, Tempo, 1290323
1, 75120, Tempo, 1263158
1, 75520, Tempo, 1395349
1, 75600, Tempo, 1276596
1, 75840, Tempo, 1200000
1, 75920, Tempo, 1224490
1, 76240, Tempo, 1363636
1, 76320, Tempo, 1290323
1, 76560, Tempo, 1263158
1, 76960, Tempo, 1395349
1, 77040, Tempo, 1276596
1, 77280, Tempo, 1200000
1, 77360, Tempo, 1224490
1, 77680, Tempo, 1363636
1, 77760, Tempo, 1290323
1, 78000, Tempo, 1263158
1, 78400, Tempo, 1395349
1, 78480, Tempo, 1276596
1, 78720, Tempo, 1200000
1, 78800, Tempo, 1224490
1, 79120, Tempo, 1363636
1, 79200, Tempo, 1276596
1, 79440, Tempo, 1200000
1, 79520, Tempo, 1224490
1, 79840, Tempo, 1363636
1, 79920, Tempo, 1276596
1, 80160, Tempo, 1318681
1, 80400, Tempo, 1363636
1, 80408, Tempo, 1318681
1, 80446, Tempo, 1333333
1, 80485, Tempo, 1348315
1, 80504, Tempo, 1363636
1, 80520, Tempo, 1739130
1, 80640, Tempo, 1379310
1, 82320, Tempo, 1379310
1, 82560, Tempo, 1363636
1, 82680, Tempo, 1500000
1, 82800, Tempo, 1379310
1, 83040, Tempo, 1333333
1, 83520, Tempo, 1263158
1, 83770, Tempo, 1263158
1, 83885, Tempo, 1276596
1, 83981, Tempo, 1290323
1, 84077, Tempo, 1304348
1, 84173, Tempo, 1318681
1, 84180, Tempo, 1578947
1, 84240, Tempo, 1333333
1, 84269, Tempo, 1333333
1, 84900, Tempo, 1250000
1, 84960, Tempo, 1224490
1, 85120, Tempo, 1428571
1, 85200, Tempo, 1212121
1, 85380, Tempo, 1463415
1, 85422, Tempo, 1153846
1, 85460, Tempo, 1165049
1, 85499, Tempo, 1176471
1, 85518, Tempo, 1188119
1, 85556, Tempo, 1200000
1, 85575, Tempo, 1212121
1, 85620, Tempo, 1791045
1, 85663, Tempo, 1304348
1, 86880, Tempo, 1276596
1, 87120, Tempo, 1318681
1, 87600, Tempo, 1304348
1, 87840, Tempo, 1290323
1, 88080, Tempo, 1348315
1, 88320, Tempo, 1304348
1, 88560, Tempo, 1276596
1, 88800, Tempo, 1348315
1, 89040, Tempo, 1395349
1, 89280, Tempo, 1333333
1, 90480, Tempo, 1481481
1, 90720, Tempo, 1318681
1, 92160, Tempo, 1333333
1, 93360, Tempo, 1428571
1, 93600, Tempo, 1318681
1, 94320, Tempo, 1250000
1, 94560, Tempo, 1318681
1, 95760, Tempo, 1304348
1, 96960, Tempo, 1276596
1, 97200, Tempo, 1304348
1, 97427, Tempo, 1276596
1, 97487, Tempo, 1290323
1, 97547, Tempo, 1304348
1, 97607, Tempo, 1318681
1, 97667, Tempo, 1333333
1, 97727, Tempo, 1348315
1, 97787, Tempo, 1363636
1, 97847, Tempo, 1379310
1, 97907, Tempo, 1395349
1, 97920, Tempo, 1276596
1, 98160, Tempo, 1212121
1, 98400, Tempo, 1276596
1, 99120, Tempo, 1318681
1, 99360, Tempo, 1263158
1, 99600, Tempo, 1224490
1, 100560, Tempo, 1318681
1, 100800, Tempo, 1276596
1, 101280, Tempo, 1318681
1, 101520, Tempo, 1250000
1, 102120, Tempo, 1395349
1, 102240, Tempo, 1263158
1, 102960, Tempo, 1250000
1, 103160, Tempo, 1250000
1, 103265, Tempo, 1263158
1, 103370, Tempo, 1276596
1, 103460, Tempo, 1290323
1, 103565, Tempo, 1304348
1, 103655, Tempo, 1318681
1, 103680, Key_signature, 3, "major"
1, 104400, Tempo, 1318681
1, 104640, Tempo, 1263158
1, 104880, Tempo, 1348315
1, 105120, Tempo, 1304348
1, 105360, Tempo, 1263158
1, 105600, Tempo, 1318681
1, 105840, Tempo, 1304348
1, 106080, Tempo, 1263158
1, 106320, Tempo, 1379310
1, 106560, Tempo, 1304348
1, 106800, Tempo, 1276596
1, 107040, Tempo, 1348315
1, 107280, Tempo, 1304348
1, 107520, Tempo, 1263158
1, 107760, Tempo, 1304348
1, 108000, Key_signature, -3, "major"
1, 108000, Tempo, 1263158
1, 108600, Tempo, 1379310
1, 108720, Tempo, 1263158
1, 108960, Tempo, 1224490
1, 109200, Tempo, 1276596
1, 109440, Tempo, 1276596
1, 109680, Tempo, 1224490
1, 109920, Tempo, 1304348
1, 110160, Tempo, 1250000
1, 110400, Tempo, 1290323
1, 110640, Tempo, 1304348
1, 110880, Tempo, 1276596
1, 111360, Tempo, 1318681
1, 111600, Tempo, 1276596
1, 111840, Tempo, 1250000
1, 112080, Tempo, 1304348
1, 112320, Tempo, 1304348
1, 112560, Tempo, 1263158
1, 112800, Tempo, 1348315
1, 113040, Tempo, 1263158
1, 113520, Tempo, 1318681
1, 113760, Tempo, 1276596
1, 114000, Tempo, 1263158
1, 114240, Tempo, 1318681
1, 114480, Tempo, 1290323
1, 114720, Tempo, 1250000
1, 114960, Tempo, 1333333
1, 115200, Key_signature, 0, "major"
1, 115200, Tempo, 1276596
1, 115440, Tempo, 1263158
1, 115680, Tempo, 1318681
1, 115920, Tempo, 1290323
1, 116160, Tempo, 1250000
1, 116400, Tempo, 1333333
1, 116640, Tempo, 1276596
1, 116880, Tempo, 1263158
1, 117120, Tempo, 1318681
1, 117360, Tempo, 1290323
1, 117600, Tempo, 1250000
1, 117840, Tempo, 1333333
1, 118080, Tempo, 1276596
1, 118320, Tempo, 1263158
1, 118560, Tempo, 1318681
1, 118800, Tempo, 1290323
1, 119040, Tempo, 1250000
1, 119280, Tempo, 1333333
1, 119520, Tempo, 1276596
1, 119760, Tempo, 1263158
1, 120000, Tempo, 1318681
1, 120240, Tempo, 1290323
1, 120480, Tempo, 1250000
1, 120720, Tempo, 1333333
1, 120960, Key_signature, 3, "major"
1, 121682, Tempo, 1318681
1, 121855, Tempo, 1333333
1, 122027, Tempo, 1348315
1, 122200, Tempo, 1363636
1, 122373, Tempo, 1379310
1, 123103, Tempo, 1379310
1, 123160, Tempo, 1395349
1, 123218, Tempo, 1411765
1, 123256, Tempo, 1428571
1, 123314, Tempo, 1445783
1, 123352, Tempo, 1463415
