0, 0, Header, 1, 3, 384
1, 0, Start_track
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Tempo, 500000
1, 388608, End_track
2, 0, Start_track
2, 0, Text_t, "harpsichord: John Sankey"
2, 0, Program_c, 0, 6
2, 0, Pitch_bend_c, 0, 8192
2, 0, Program_c, 1, 6
2, 0, Pitch_bend_c, 1, 7792
2, 0, Program_c, 2, 6
2, 0, Pitch_bend_c, 2, 7876
2, 0, Program_c, 3, 6
2, 0, Pitch_bend_c, 3, 7952
2, 0, Program_c, 4, 6
2, 0, Pitch_bend_c, 4, 7792
2, 0, Program_c, 5, 6
2, 0, Pitch_bend_c, 5, 8112
2, 0, Program_c, 6, 6
2, 0, Pitch_bend_c, 6, 7712
2, 0, Program_c, 7, 6
2, 0, Pitch_bend_c, 7, 8037
2, 0, Program_c, 8, 6
2, 0, Pitch_bend_c, 8, 7872
2, 0, Program_c, 10, 6
2, 0, Pitch_bend_c, 10, 7712
2, 0, Program_c, 11, 6
2, 0, Pitch_bend_c, 11, 8032
2, 0, Program_c, 12, 6
2, 0, Pitch_bend_c, 12, 7872
2, 0, Title_t, "Ger.8l"
2, 64, Note_on_c, 12, 71, 127
2, 193, Note_off_c, 12, 71, 127
2, 220, Note_on_c, 8, 68, 127
2, 373, Note_off_c, 8, 68, 127
2, 375, Note_on_c, 10, 69, 127
2, 528, Note_off_c, 10, 69, 127
2, 531, Note_on_c, 12, 71, 127
2, 531, Note_on_c, 4, 52, 127
2, 684, Note_off_c, 12, 71, 127
2, 686, Note_on_c, 4, 76, 127
2, 840, Note_off_c, 4, 52, 127
2, 842, Note_on_c, 4, 64, 127
2, 842, Note_on_c, 8, 56, 127
2, 993, Note_off_c, 4, 76, 127
2, 995, Note_off_c, 4, 64, 127
2, 997, Note_on_c, 4, 76, 127
2, 1151, Note_off_c, 8, 56, 127
2, 1153, Note_on_c, 6, 66, 127
2, 1153, Note_on_c, 12, 59, 127
2, 1304, Note_off_c, 4, 76, 127
2, 1306, Note_off_c, 6, 66, 127
2, 1308, Note_on_c, 4, 76, 127
2, 1461, Note_off_c, 4, 76, 127
2, 1462, Note_off_c, 12, 59, 127
2, 1464, Note_on_c, 8, 68, 127
2, 1464, Note_on_c, 4, 64, 127
2, 1617, Note_off_c, 8, 68, 127
2, 1619, Note_on_c, 10, 69, 127
2, 1772, Note_off_c, 10, 69, 127
2, 1773, Note_off_c, 4, 64, 127
2, 1775, Note_on_c, 12, 71, 127
2, 1775, Note_on_c, 4, 52, 127
2, 1928, Note_off_c, 12, 71, 127
2, 1930, Note_on_c, 4, 76, 127
